user.screen_name,text,entities.urls.0.expanded_url
inmediaref,RT @AmandinemJac: #ConvegnoStelline  @CStelline  @eblida https://t.co/6QGedLAjE4,https://twitter.com/ctaa11y/status/840131843802333184
AmandinemJac,#ConvegnoStelline  @CStelline  @eblida https://t.co/6QGedLAjE4,https://twitter.com/ctaa11y/status/840131843802333184
AmandinemJac,#ConvegnoStelline https://t.co/WoMLLaRgy2,https://twitter.com/eblida/status/842298936610193409
AmandinemJac,@mauroguerrini https://t.co/bD9WLIVaau,https://twitter.com/eblida/status/842315145393131520
AmandinemJac,#ConvegnoStelline  @CStelline https://t.co/UodJYO8mha,https://twitter.com/eblida/status/842347873312374784
CStelline,RT @AmandinemJac: @CStelline #2030Agenda https://t.co/7H2DwuumwS,https://twitter.com/eblida/status/842382329951719424
AmandinemJac,@CStelline #2030Agenda https://t.co/7H2DwuumwS,https://twitter.com/eblida/status/842382329951719424
eblida,As a follow-up of my morning presentation #ConvegnoStelline @CStelline @IFLA @AmandinemJac @Europeanaeu https://t.co/98B3wpRxsz,https://twitter.com/eblida/status/842388476070903808
AmandinemJac,RT @eblida: As a follow-up of my morning presentation #ConvegnoStelline @CStelline @IFLA @AmandinemJac @Europeanaeu https://t.co/98B3wpRxsz,https://twitter.com/eblida/status/842388476070903808
AmandinemJac,@mariankoren https://t.co/3RXwUrrQoE,https://twitter.com/eblida/status/842739803720433664
eblida,#eblidanaple2017 Register now :-) https://t.co/QX0BpZfnlZ @AmandinemJac @M_L_O_L @IFLA https://t.co/t2msxFbQNd,https://twitter.com/eblida/status/842758542524321794
AmandinemJac,RT @eblida: #eblidanaple2017 Register now :-) https://t.co/QX0BpZfnlZ @AmandinemJac @M_L_O_L @IFLA https://t.co/t2msxFbQNd,https://twitter.com/eblida/status/842758542524321794
eblida,a lot to learn from @fabiovenuda presentation on UD @AmandinemJac @IFLA https://t.co/9lh9A5OKur,https://twitter.com/eblida/status/842769583136292865
AmandinemJac,RT @eblida: a lot to learn from @fabiovenuda presentation on UD @AmandinemJac @IFLA https://t.co/9lh9A5OKur,https://twitter.com/eblida/status/842769583136292865
antiransomware_,RT @SophosItalia: #Ransomware è un problema reale e diffuso #EOR2017 https://t.co/AUvwegrtPq,https://twitter.com/framarin/status/842375447182753792
SophosItalia,#Ransomware è un problema reale e diffuso #EOR2017 https://t.co/AUvwegrtPq,https://twitter.com/framarin/status/842375447182753792
